scope,dataset,method,num_clusters,relative_regret,investment_cost,operational_cost_without_ens,ens_cost,total_cost
perlocation,lowvar,UTR,730,8.4803707296449,123976300.4877582,15705830.58337396,2421792.3566260403,142103923.42775822
perlocation,lowvar,UTR,876,1.9313694541098727,126644661.94355752,6777546.900043705,102846.63295629495,133525055.47655752
perlocation,lowvar,UTR,1095,0.6480695468185267,127373272.37403312,4371506.532799454,99217.12520054563,131843996.03203312
perlocation,lowvar,UTR,1460,0.5889984691019229,127339681.09113134,4407627.491648714,19307.257351285796,131766615.84013134
perlocation,lowvar,UTR,1752,0.49544604540651477,127385697.77942404,4227481.485101732,30887.524898267537,131644066.78942405
perlocation,lowvar,UTR,2190,0.33013293667568355,127558047.33247969,3818059.3189865304,51408.13701346948,131427514.78847969
perlocation,lowvar,UTR,2920,0.1498062956837348,127657287.24139816,3532818.3032433735,1190.2577566267512,131191295.80239816
perlocation,lowvar,UTR,4380,0.038781368229093796,127790083.79743911,3255546.640943452,228.1970565480522,131045858.63543911
perprofile,basedataset,EAC,200,21.894131415799595,147188466.43514636,36614447.775721096,16542137.714278905,200345051.92514637
perprofile,basedataset,EAC,400,5.820182861460374,149760205.96846563,22160510.63045236,2005212.2695476385,173925928.86846563
perprofile,basedataset,EAC,500,4.888665742738522,152323286.6708916,19047643.938858315,1023957.8111416857,172394888.4208916
perprofile,basedataset,EAC,600,3.2534585363212,150264659.0476543,18418646.908858314,1023957.8111416857,169707263.7676543
perprofile,basedataset,EAC,800,1.5207308159874742,147149463.50172597,18685933.198858317,1023957.8111416848,166859354.51172596
perprofile,basedataset,EAC,1000,0.9663014752571474,147879492.84531862,17044644.438858315,1023957.8111416848,165948095.09531862
perprofile,basedataset,EAC,1200,1.0333185756827241,148768270.3232485,16672136.483653903,617837.5163460976,166058244.3232485
perprofile,basedataset,EAC,1400,0.8982125961986933,148373092.45328042,16739568.469992986,723523.3700070139,165836184.29328042
perprofile,basedataset,EAC,1500,0.8971343691501061,148469569.8105636,16658550.260746853,706292.0492531449,165834412.1205636
perprofile,basedataset,EAC,1600,1.3485755471753158,149598352.7331214,16733142.957821678,244904.62217831914,166576400.31312138
perprofile,basedataset,EAC,1800,1.3052660370471991,149495441.74289495,16767458.107382422,242317.00261757718,166505216.85289496
perprofile,basedataset,EAC,2000,0.867428235420714,148443494.23388648,16799495.97304616,542596.9469538411,165785587.1538865
perprofile,basedataset,EAC,2200,0.903564406041152,148511729.3216823,16855371.622156147,477879.57784385217,165844980.5216823
perprofile,basedataset,EAC,2400,0.7425104603350204,148408652.56475955,16705686.69783566,465933.1821643389,165580272.44475955
perprofile,basedataset,EAC,2500,0.7399563835112053,148379674.83707714,16727378.62758891,469021.102411092,165576074.56707713
perprofile,basedataset,EAC,3000,0.9930133575145247,149056942.433776,16750651.772638017,184404.5073619838,165991998.713776
perprofile,basedataset,EAC,3500,0.6531112805504404,148115444.6073554,17003545.495381545,314345.95461845526,165433336.05735537
perprofile,basedataset,EAC,4000,0.32767222645091004,147310973.76841056,16906735.306637384,680735.7333626157,164898444.80841056
perprofile,basedataset,HC,500,8.090026258585258,145351977.37298712,19024864.09398838,13279799.356011616,177656640.8229871
perprofile,basedataset,HC,1000,1.1645027087099704,145297237.27096406,17822460.84899497,3154160.2910050303,166273858.41096407
perprofile,basedataset,HC,1500,0.8133614836596871,145851391.4538853,17419117.056459453,2426214.5935405465,165696723.1038853
perprofile,basedataset,HC,2000,0.7571123947865388,146654546.00715733,17142154.504348833,1807571.6556511659,165604272.16715732
perprofile,basedataset,HC,2500,0.5359544723909556,146895568.7443973,17109629.28208491,1235579.23791509,165240777.26439732
perprofile,basedataset,HC,3000,0.6003665406432506,147209086.37449196,17028611.07555549,1108947.4144445108,165346644.86449197
perprofile,basedataset,HC,3500,0.3390768887433877,146485332.5780247,17211187.561847992,1220669.3581520088,164917189.4980247
perprofile,basedataset,HC,4000,0.28885336603590817,145838991.68480393,17473011.430160765,1522639.059839234,164834642.17480394
perprofile,basedataset,HC,5000,0.06747110547069818,146420157.16009057,17041919.02598517,1008702.3640148304,164470778.55009055
perprofile,basedataset,HC,6000,0.024742948672538838,146157465.73151776,17136929.17590469,1106155.694095311,164400550.60151777
perprofile,basedataset,HC,7000,0.007428157869986949,146296035.55159223,17064362.651442427,1011693.828557573,164372092.03159222
perprofile,basedataset,HC,8000,0.001736933775179036,146239861.0723219,17075083.102153394,1047793.767846605,164362737.9423219
perprofile,basedataset,PEC,500,18.96029008750112,176402600.66702878,19120393.08,0.0,195522993.74702877
perprofile,basedataset,PEC,1000,5.7199078615865675,157269423.83587447,16491693.16,0.0,173761116.99587446
perprofile,basedataset,PEC,1500,2.7463970628531205,152039538.73251563,16743405.50786903,90913.88213097048,168873858.12251562
perprofile,basedataset,PEC,2000,1.7875283644673476,150504296.8405745,16625663.556828335,167902.25317166417,167297862.6505745
perprofile,basedataset,PEC,2500,1.3264452448173276,149623861.8640317,16734758.72325115,181406.38674884796,166540026.9740317
perprofile,basedataset,PEC,3000,1.0641439648073652,149053294.54678506,16786926.365266282,268687.9847337207,166108908.89678505
perprofile,basedataset,PEC,3500,0.6546906639443124,147939591.74005556,16945159.801103827,551180.3888961748,165435931.93005556
perprofile,basedataset,PEC,4000,0.5292815880490273,147081261.9694922,17184611.51604684,963936.2339531608,165229809.7194922
perprofile,basedataset,UTR,730,73.25078669840497,137711724.12197745,31820818.416949615,115222247.98305039,284754790.5219774
perprofile,basedataset,UTR,876,35.58102673649366,142000320.82699576,20657922.173175223,60182574.07682478,222840817.07699576
perprofile,basedataset,UTR,1095,17.35756036585231,142108157.6097973,18989999.5648255,31790591.875174496,192888749.0497973
perprofile,basedataset,UTR,1460,15.176146858479902,143579185.55871612,18137305.435655046,27586889.36434495,189303380.35871613
perprofile,basedataset,UTR,1752,6.996368925430969,143278314.4484814,18349752.144399703,14231040.3156003,175859106.90848142
