file_name                                                              , calc_ens, method                      , num_clusters, t_clustering         , t_create_model    , t_solve             , energy_not_served     , true_operational_cost, investment_cost   , investment_cost_renewables, total_capacity    , renewables_capacity, cost_Battery, capacity_Battery, cost_Coal           , capacity_Coal        , cost_Gas           , capacity_Gas       , cost_Nuclear       , capacity_Nuclear  , cost_OCGT         , capacity_OCGT      , cost_Solar           , capacity_Solar        , cost_Wind_Offshore, capacity_Wind_Offshore, cost_Wind_Onshore  , capacity_Wind_Onshore
ward_k7000_demandoveravailabilities_NoExtremePreservation_hp0.95_lp0.05, False   , demandoveravailabilities    ,         7000,   12.604450941085815 , 58.29757809638977 ,  928.1725540161132  ,    15.547717025423404 ,           18186064.84, 146197665.49118376,         138890738.6322744 , 2361.8188336814483,  2281.6495621563276,          0.0,              0.0,       0.0           , 0.0                  ,  6881840.196940875 ,  72.44042312569341 ,        0.0         ,  0.0              , 425086.6619684906 ,  7.728848399427102 , 35991154.57860379    , 1047.9915921682598    , 21101494.265910044,     176.23847751936415,  81798089.78776056 ,    1057.4194924687038
ward_k4300_perlocation_DynamicProgramming_hp0.95_lp0.05                , False   , DynamicProgramming          ,         4300,  213.36983394622803  , 49.610443115234375,  746.5734839439392  ,    11.99220141884114  ,           18023485.97, 146936252.21077332,         139375813.69446728, 2328.3572357034077,  2245.525155889618 ,          0.0,              0.0,       0.0           , 0.0                  ,  7136101.050550499 ,  75.11685316368947 ,        0.0         ,  0.0              , 424337.4657555208 ,  7.715226650100378 , 34132227.09870286    ,  993.8632822488875    , 23789319.07817339 ,     198.68703717029524,  81454267.51759103 ,    1052.974836470435
ward_k400_perlocation_NoExtremePreservation_hp0.95_lp0.05              , False   , NoExtremePreservation       ,          400,    3.1130759716033936, 45.94555807113648 ,  624.359612941742   ,  1889.824629489633    ,          155495847.9 , 140189630.68859363,         134512481.24543017, 2569.2846993000667,  2506.44549468706  ,          0.0,              0.0,       0.0           , 0.0                  ,  5274858.8249392705,  55.52482973620285 ,        0.0         ,  0.0              , 402290.61822419264,  7.3143748768035035, 50524834.7280661     , 1471.1837564161376    , 11029473.46637991 ,      92.11753381348456,  72958173.05098416 ,     943.1442044574381
ward_k4100_perlocation_SeperateExtremesSum_hp0.95_lp0.05               , False   , SeperateExtremesSum         ,         4100,    4.303822994232178 , 49.36455297470093 ,  574.9087471961975  ,    12.043175678148277 ,           17780743.16, 146844205.97175255,         139425881.56396878, 2349.5763755948224,  2268.636212736534 ,          0.0,              0.0,       0.0           , 0.0                  ,  7045711.6951225065,  74.16538626444743 ,        0.0         ,  0.0              , 372612.71266125195,  6.774776593840945 , 35158508.041271076   , 1023.7465636163986    , 22511253.171705976,     188.01270355738563,  81756120.35099174 ,    1056.8769455627498
ward_k200_perprofile_SeperateExtremesSum_hp0.95_lp0.05                 , False   , SeperateExtremesSum         ,          200,    5.079986095428467 , 64.93277502059937 ,  809.2963900566101  ,  2956.299584352373    ,          237846769.5 , 145638850.79092786,         138973726.58397934, 1701.665210454522 ,  1630.8709414824611,          0.0,              0.0,  188726.2927879565  , 0.4493483161618012   ,  6192639.785454519 ,  65.18568195215283 ,        0.0         ,  0.0              , 283758.1287060487 ,  5.1592387037463405,   260385.3502455035  ,    7.581908971136462  , 37131271.889511056,     310.118266682986  , 101582069.34422277 ,    1313.1707658283385
ward_k700_perprofile_DynamicProgramming_s168_hp0.95_lp0.05             , False   , DynamicProgramming          ,          700,  244.7454891204834   , 47.330204010009766,  429.9320428371429  ,     1.2750427196815366,           18657748.19, 152671364.62242824,         142967298.6804264 , 2204.1899980178277,  2107.623220976473 ,          0.0,              0.0, 1084895.0513561259  , 2.583083455609823    ,  8193910.890645733 ,  86.25169358574456 ,        0.0         ,  0.0              , 425260.0          ,  7.732000000000001 , 25916200.68364554    ,  754.628761855615     , 35002999.61879444 ,     292.34305796974655,  82048098.3779864  ,    1060.6514011511115
ward_k1500_perlocation_NoExtremePreservation_hp0.95_lp0.05             , False   , NoExtremePreservation       ,         1500,    2.9883840084075928, 48.44700503349304 ,  446.07590508461    ,   377.736459856686    ,           43389125.69, 144935679.63005304,         138494350.60540915, 2357.4071248303676,  2286.3649245709585,          0.0,              0.0,       0.0           , 0.0                  ,  6018269.024643888 ,  63.35020025940935 ,        0.0         ,  0.0              , 423060.0          ,  7.692             , 36527471.89862778    , 1063.6080970762043    , 20848804.715099562,     174.1280287919564 ,  81118073.9916818  ,    1048.6287987027977
ward_k1700_perlocation_NoExtremePreservation_hp0.95_lp0.05             , False   , NoExtremePreservation       ,         1700,    4.492408037185669 , 46.990538120269775,  449.5981059074402  ,   324.24907050972433  ,           39716664.49, 144903134.5665032 ,         138413152.79472816, 2345.7946564651006,  2274.240322025363 ,          0.0,              0.0,       0.0           , 0.0                  ,  6066921.77177503  ,  63.862334439737154,        0.0         ,  0.0              , 423060.0          ,  7.692             , 35942584.44035492    , 1046.5773253265534    , 21199632.256683126,     177.05812042534538,  81270936.09769012 ,    1050.6048762734647
ward_k3800_perlocation_DynamicProgramming_hp0.95_lp0.05                , False   , DynamicProgramming          ,         3800,  188.7704930305481   , 45.45117807388306 ,  500.8157088756561  ,     9.612943114526082 ,           17701137.59, 147402414.35102448,         139813807.13985842, 2332.5399111126976,  2249.4042562583186,          0.0,              0.0,       0.0           , 0.0                  ,  7163347.211166028 ,  75.40365485437924 ,        0.0         ,  0.0              , 425260.0          ,  7.732000000000001 , 34153314.09500583    ,  994.4772940828602    , 24253630.693170648,     202.5649413172955 ,  81406862.35168196 ,    1052.3620208581629
ward_k2200_perlocation_DynamicProgramming_hp0.95_lp0.05                , False   , DynamicProgramming          ,         2200,  122.4106740951538   , 43.97632098197937 ,  432.25009989738464 ,    12.800870465898718 ,           18061598.72, 147656955.33596507,         139759870.87809262, 2329.2853168903084,  2243.2705862203825,          0.0,              0.0,       0.0           , 0.0                  ,  7519901.393688028 ,  79.15685677566346 ,        0.0         ,  0.0              , 377183.0641844311 ,  6.857873894262385 , 33754194.29055102    ,  982.8557108290363    , 24029454.89031718 ,     200.69263778780552,  81976221.69722441 ,    1059.7222376035409
