file_name,calc_ens,method,num_clusters,t_clustering,t_create_model,t_solve,energy_not_served,true_operational_cost,investment_cost,investment_cost_renewables,total_capacity,renewables_capacity,cost_Battery,capacity_Battery,cost_Coal,capacity_Coal,cost_Gas,capacity_Gas,cost_Nuclear,capacity_Nuclear,cost_OCGT,capacity_OCGT,cost_Solar,capacity_Solar,cost_Wind_Offshore,capacity_Wind_Offshore,cost_Wind_Onshore,capacity_Wind_Onshore
ward_k1500_perprofile_NoExtremePreservation_hp0.95_lp0.05_basedataset,False,NoExtremePreservation,1500,6.17387580871582,43.20840096473694,695.8548250198364,35.22020981521254,19845331.65,145851391.4538853,138801667.9118868,2322.412922230531,2244.9497270515994,0.0,0.0,0.0,0.0,6624463.541998466,69.73119517893122,0.0,0.0,425260.0,7.732000000000001,34435411.2309238,1002.6914075248483,23365766.724351306,195.14955204973018,81000489.9566117,1047.1087674770213
ward_k1000_global_SeperateExtremesSum_hp0.95_lp0.05_basedataset,False,NoExtremePreservation Global,1000,19.05296301841736,20.99661087989807,26.70224690437317,0.012782058001667,18702875.02,160712014.79802185,150098033.66719678,2321.7605751667547,2211.5328543572023,0.0,0.0,364894.90465532494,0.868797392036488,10056570.415740138,105.85863595515936,0.0,0.0,192515.81042959384,3.5002874623562517,26024405.749016326,757.7794804159478,32822279.91139151,274.12981125432066,91251348.00678894,1179.623562686934
ward_k1000_perlocation_Afterwards_hp0.95_lp0.05_basedataset,False,Afterwards,1000,10.116827964782717,23.20959496498108,198.73150897026065,0.0,18469734.05,161809914.85954475,145879299.5272276,2258.6161549130384,2091.147369391055,0.0,0.0,414935.06844942423,0.9879406391652956,15103180.26386772,158.9808448828181,0.0,0.0,412500.0,7.5,23866746.296021383,694.9526833327186,39579243.87506251,330.5635891946066,82433309.35614371,1065.6310968637297
ward_k1500_global_NoExtremePreservation_hp0.95_lp0.05_basedataset,False,NoExtremePreservation Global,1500,4.910333871841431,18.206371068954468,35.523579835891724,308.4529690709582,38601916.26,144555319.14196438,138143013.71432173,2375.413126934622,2304.6595961173307,0.0,0.0,0.0,0.0,5987045.4276426695,63.021530817291264,0.0,0.0,425260.0,7.732000000000001,37543793.25920688,1093.2013750162537,19454044.677228406,162.4790724440462,81145175.77788644,1048.979148657031
ward_k1000_global_DynamicProgramming_s168_hp0.95_lp0.05_basedataset,False,NoExtremePreservation Global,1000,13.357542991638184,20.04651188850403,25.61050295829773,0.0,16206293.6,159882150.8075178,149412972.26157928,2335.341931265501,2224.4722942602543,0.0,0.0,263863.3015908589,0.6282459561687117,9837341.999539979,103.5509684162103,0.0,0.0,367973.2448077113,6.690422632867479,29386278.332650714,855.6705940198532,39955486.73863249,333.7059481487885,80071207.19029605,1035.095752091613
ward_k1000_perlocation_SeperateExtremesSum_hp0.95_lp0.05_basedataset,False,SeperateExtremesSum,1000,13.17029309272766,21.495994806289676,64.73377299308777,47.97409197677466,23713887.94,144573112.9148398,135617359.60280508,2370.380468848405,2272.8538024059344,0.0,0.0,0.0,0.0,8530493.312034696,89.7946664424705,0.0,0.0,425260.0,7.732000000000001,38130612.85472023,1110.288406799979,21346244.995797828,178.28262166686466,76140501.75228703,984.282773939091
ward_k1500_perlocation_DynamicProgramming_s168_hp0.95_lp0.05_basedataset,False,DynamicProgramming,1500,125.0411159992218,26.170552015304565,282.2235338687897,2.499804658252856,16869246.92,152849763.69311345,141980443.34312087,2345.8490349320887,2228.1795575637457,0.0,0.0,0.0,0.0,10444060.349992575,109.93747736834291,0.0,0.0,425260.0,7.732000000000001,32297057.79126639,940.4267635565416,28445505.777404144,237.57524312280165,81237879.77445035,1050.1775508844025
ward_k1500_perlocation_NoExtremePreservation_hp0.95_lp0.05_basedataset,False,NoExtremePreservation,1500,6.334067106246948,25.771619081497192,154.1653130054474,62.7504939240665,23025628.07,146426344.5546603,137605679.53949085,2322.207604493815,2226.1029201236097,0.0,0.0,0.0,0.0,8395405.01516946,88.37268437020484,0.0,0.0,425260.0,7.732000000000001,34399032.64138022,1001.6321345889562,23977107.937889647,200.25543902442166,79229538.96022098,1024.2153465102322
ward_k500_global_NoExtremePreservation_hp0.95_lp0.05_basedataset,False,NoExtremePreservation Global,500,6.948538064956665,18.80335211753845,12.644495010375977,2594.8376543706904,197595443.6,140893095.34415513,135996567.95232478,2343.017716981447,2289.2350858561263,0.0,0.0,0.0,0.0,4603896.364851951,48.462066998441585,0.0,0.0,292631.02697838616,5.320564126879749,36904254.681152865,1074.5792702098051,14497444.911434773,121.08183368036603,84594868.35973714,1093.573981965955
ward_k500_global_SeperateExtremesSum_hp0.95_lp0.05_basedataset,False,NoExtremePreservation Global,500,12.061860084533691,16.165832042694092,10.34460997581482,0.0,25707439.48,176866058.26775426,132001001.47037748,2010.3731425899236,1787.6607037177446,0.0,0.0,227678.90417027936,0.5420926289768556,17124045.670870613,180.25311232495383,26756972.22233589,28.165233918248305,756360.0,13.752,10681836.291801183,311.0340513882923,20040295.402623527,167.37540509169074,101278869.77595277,1309.2512472377616
ward_k500_perlocation_NoExtremePreservation_hp0.95_lp0.05_basedataset,False,NoExtremePreservation,500,5.399097919464111,16.84037494659424,44.02472686767578,388.37872644391547,47216656.48,142159461.6240951,134484684.87248427,2362.8714692982207,2278.845608754949,0.0,0.0,0.0,0.0,7251716.751610851,76.33386054327212,0.0,0.0,423060.0,7.692,37213820.77207063,1083.5932255635762,13591966.46327267,113.51932928519196,83678897.63714097,1081.7330539061807
