experiment_name,method,num_clusters,clustering_method,high_percentile,low_percentile,tops_window,investment_cost,investment_cost_renewables,total_capacity,renewables_capacity,cost_Battery,cost_Coal,cost_Gas,cost_Nuclear,cost_OCGT,cost_Solar,cost_Wind_Offshore,cost_Wind_Onshore,capacity_Battery,capacity_Coal,capacity_Gas,capacity_Nuclear,capacity_OCGT,capacity_Solar,capacity_Wind_Offshore,capacity_Wind_Onshore
ward_k1800_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,1800,perlocation,0.95,0.05,5,6.045913237920741e6,4.009424119679932e6,2401.4811039354217,2321.9083922687305,0.0,0.0,985986.1437026074,0.0,1.0505029745382017e6,804597.9387009247,351260.1775586772,2.85356600342033e6,0.0,0.0,72.85405076978145,0.0,6.718660896909364,1129.9437614073472,166.73970258184727,1025.224928279536
ward_k1900_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,1900,perlocation,0.95,0.05,5,6.060082713365532e6,4.022881923205719e6,2399.2875066550614,2319.637533353366,0.0,0.0,986891.0410596756,0.0,1.0503097491001373e6,799346.6502360977,348368.09137874516,2.875167181590876e6,0.0,0.0,72.935268256482,0.0,6.714705045213719,1122.747536079041,166.6058363637208,1030.2841609106042
ward_k2000_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,2000,perlocation,0.95,0.05,5,6.05097258452173e6,4.007980448742128e6,2394.2083424660564,2314.2235745007642,0.0,0.0,980895.640512002,0.0,1.0620964952675998e6,796079.9468949673,343272.0522682049,2.868628449578956e6,0.0,0.0,73.0287560803594,0.0,6.956011884933043,1111.6434252224635,166.45213525125706,1036.1280140270435
ward_k200_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,200,perlocation,0.95,0.05,5,8.179655788514078e6,5.095318764193671e6,1704.9002071960228,1561.6259306786992,0.0,117983.36272894437,1.4922691876083808e6,486922.24397086847,987162.2300122126,21914.979569063922,1.311791517807432e6,3.761612266817175e6,0.0,0.7011582699320122,118.39989920005277,8.200795687930416,15.97242335940862,0.23865728288888413,300.32319801380845,1261.0640753820019
ward_k2100_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,2100,perlocation,0.95,0.05,5,6.081215977265345e6,4.0207367269802005e6,2387.7962033095055,2306.7923649295003,0.0,0.0,997743.611129977,0.0,1.062735639155167e6,791799.8920706756,349789.8034125591,2.879147031496966e6,0.0,0.0,74.034741476574,0.0,6.969096903431234,1099.3002434370578,167.39989655813625,1040.092224934306
ward_k2200_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,2200,perlocation,0.95,0.05,5,6.088733167346303e6,4.0280174132786593e6,2382.034458594524,2301.0811997489986,0.0,0.0,999283.4457063733,0.0,1.0614323083612714e6,784148.3411743024,361310.180867608,2.8825588912367485e6,0.0,0.0,74.0108446779836,0.0,6.9424141675416635,1091.065536707087,169.52614551713322,1040.4895175247786
ward_k2300_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,2300,perlocation,0.95,0.05,5,6.0927055069589075e6,4.0237754593830043e6,2356.422770284817,2275.2044483205455,0.0,0.0,1.0070453143910181e6,0.0,1.0618847331848852e6,764998.4008749109,360436.8622916548,2.898340196216439e6,0.0,0.0,74.26664542670419,0.0,6.951676537566927,1056.3339740903223,177.50185522197725,1041.3686190082462
ward_k2400_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,2400,perlocation,0.95,0.05,5,6.103376488147299e6,4.044499116712929e6,2349.297652755621,2267.60132121053,0.0,0.0,996992.6382494846,0.0,1.0618847331848852e6,759636.0318727753,362007.127765992,2.9228559570741616e6,0.0,0.0,74.74465500752416,0.0,6.951676537566927,1045.0571107182086,177.3120973698218,1045.2321131224994
ward_k2500_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,2500,perlocation,0.95,0.05,5,6.1106195731016025e6,4.056103733309906e6,2348.2109043262826,2266.509526787844,0.0,0.0,992631.1066068113,0.0,1.0618847331848852e6,757495.9654463773,363270.2377712711,2.9353375300922575e6,0.0,0.0,74.74970100087154,0.0,6.951676537566927,1043.4645427582827,177.4186987284818,1045.6262853010794
ward_k2600_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,2600,perlocation,0.95,0.05,5,6.07365650409436e6,4.051036385913387e6,2368.4105603167523,2288.985344184976,0.0,0.0,962650.5172806856,0.0,1.0599696009002875e6,765126.5313769865,361470.83873254876,2.924439015803851e6,0.0,0.0,72.51274757516285,0.0,6.912468556613158,1053.0680307139885,187.7922275751265,1048.125085895861
ward_k2700_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,2700,perlocation,0.95,0.05,5,6.074088116722159e6,4.0483759050962953e6,2367.765971182501,2288.1836900990165,0.0,0.0,966411.3333501669,0.0,1.0593008782756971e6,765040.32499721,364342.2212860704,2.918993358813015e6,0.0,0.0,72.68350310278534,0.0,6.898777980698819,1052.1667175637515,187.97383620248667,1048.0431363327782
ward_k2800_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,2800,perlocation,0.95,0.05,5,6.081019874269534e6,4.0524871743096537e6,2363.1815029380955,2283.5910358908313,0.0,0.0,968910.0677952032,0.0,1.0596226321646776e6,764300.1330841635,364448.03976194793,2.923739001463542e6,0.0,0.0,72.68510188694752,0.0,6.905365160316856,1045.9968080362041,189.1410455113454,1048.4531823432815
ward_k2900_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,2900,perlocation,0.95,0.05,5,6.079668874447213e6,4.0426343865644718e6,2362.043110426625,2282.2304677382544,0.0,0.0,975727.7746224587,0.0,1.0613067132602823e6,760852.8514567161,370986.5995494897,2.910794935558266e6,0.0,0.0,72.87279979507849,0.0,6.939842893292328,1043.7091412333332,188.95976063407312,1049.561565870848
ward_k3000_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,3000,perlocation,0.95,0.05,5,6.078868018282313e6,4.0311854662841996e6,2362.9917895507333,2282.34488666071,0.0,0.0,987193.019257599,0.0,1.0604895327405152e6,760020.438623142,362092.6331342832,2.9090723945267745e6,0.0,0.0,73.72378991064457,0.0,6.923112979378548,1041.6301926378544,185.74675793449993,1054.967936088356
ward_k300_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,300,perlocation,0.95,0.05,5,8.076122356969714e6,5.2149913460270995e6,1698.875808507323,1561.6703427557127,0.0,142968.12646812593,1.35565993564048e6,413590.4702822718,948912.4785517359,91870.53299181508,1.3264304420727263e6,3.7966903709625583e6,0.0,0.8496391515820056,113.53617315659682,6.965734236332999,15.85391920709841,3.825961417606149,306.93449498999735,1250.9098863481092
ward_k3100_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,3100,perlocation,0.95,0.05,5,6.10131579277561e6,4.0480688319494277e6,2361.0840672090276,2280.3466908049577,0.0,0.0,993112.8253977842,0.0,1.0601341354283984e6,757883.3302977487,362417.3867430926,2.9277681149085867e6,0.0,0.0,73.8215393769355,0.0,6.915837027134122,1038.4722898627542,186.5059930558259,1055.3684078863776
ward_k3200_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,3200,perlocation,0.95,0.05,5,6.128853878341416e6,4.067013727794922e6,2357.270299830054,2276.1147703260995,0.0,0.0,1.0013960287024688e6,0.0,1.0604441218440246e6,753994.4671211736,364734.62294276303,2.9482846377309854e6,0.0,0.0,74.23334620947486,0.0,6.9221832944794865,1032.351179109699,187.7849571062627,1055.9786341101378
ward_k3300_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,3300,perlocation,0.95,0.05,5,6.113909708981474e6,4.0561260453074183e6,2356.073628907202,2275.0454958971663,0.0,0.0,997576.7025430799,0.0,1.0602069611309762e6,752354.98066854,367712.09268872865,2.9360589719501496e6,0.0,0.0,74.11080504215411,0.0,6.917327967881443,1030.8827651054505,187.69901877213277,1056.463712019583
