from_asset,to_asset,carrier,capacity,is_transport
FI_E_Balance,SE_E_Balance,electricity,1,true
FI_E_ENS,FI_E_Demand,electricity,,
FI_Gas,FI_E_Balance,electricity,,
FI_Hydro_Reservoir,FI_E_Balance,electricity,,
FI_Nuclear,FI_E_Balance,electricity,,
FI_OCGT,FI_E_Balance,electricity,,
FI_Solar,FI_E_Balance,electricity,,
FI_Wind_Offshore,FI_E_Balance,electricity,,
FI_Wind_Onshore,FI_E_Balance,electricity,,
FI_electrolyzer,FI_H_Demand,hydrogen,,
FR_Battery,FR_E_Balance,electricity,,
FR_E_Balance,BE_E_Balance,electricity,1,true
FR_E_Balance,DE_E_Balance,electricity,1,true
FR_E_Balance,FR_E_Demand,electricity,,
FR_E_Balance,FR_Pump_Hydro_Closed,electricity,,
FR_E_Balance,FR_Pump_Hydro_Open,electricity,,
FR_E_Balance,FR_electrolyzer,electricity,,
FR_E_ENS,FR_E_Demand,electricity,,
FR_Gas,FR_E_Balance,electricity,,
FR_Hydro,FR_E_Balance,electricity,,
FR_Hydro_Reservoir,FR_E_Balance,electricity,,
FR_Nuclear,FR_E_Balance,electricity,,
FR_OCGT,FR_E_Balance,electricity,,
FR_Pump_Hydro_Closed,FR_E_Balance,electricity,,
FR_Pump_Hydro_Open,FR_E_Balance,electricity,,
FR_Solar,FR_E_Balance,electricity,,
FR_Wind_Offshore,FR_E_Balance,electricity,,
FR_Wind_Onshore,FR_E_Balance,electricity,,
FR_electrolyzer,FR_H_Demand,hydrogen,,
GR_Battery,GR_E_Balance,electricity,,
GR_E_Balance,GR_Battery,electricity,,
GR_E_Balance,GR_E_Demand,electricity,,
GR_E_Balance,GR_Pump_Hydro_Closed,electricity,,
GR_E_Balance,GR_Pump_Hydro_Open,electricity,,
GR_E_Balance,GR_electrolyzer,electricity,,
GR_E_Balance,IT_E_Balance,electricity,1,true
GR_E_ENS,GR_E_Demand,electricity,,
GR_Gas,GR_E_Balance,electricity,,
GR_Hydro,GR_E_Balance,electricity,,
GR_Hydro_Reservoir,GR_E_Balance,electricity,,
GR_OCGT,GR_E_Balance,electricity,,
GR_Pump_Hydro_Closed,GR_E_Balance,electricity,,
GR_Pump_Hydro_Open,GR_E_Balance,electricity,,
GR_Solar,GR_E_Balance,electricity,,
GR_Wind_Offshore,GR_E_Balance,electricity,,
GR_Wind_Onshore,GR_E_Balance,electricity,,
GR_electrolyzer,GR_H_Demand,hydrogen,,
HR_Battery,HR_E_Balance,electricity,,
HR_Coal,HR_E_Balance,electricity,,
HR_E_Balance,HR_Battery,electricity,,
HR_E_Balance,HR_E_Demand,electricity,,
HR_E_Balance,HR_Pump_Hydro_Open,electricity,,
HR_E_Balance,HR_electrolyzer,electricity,,
HR_E_Balance,HU_E_Balance,electricity,1,true
HR_E_Balance,SI_E_Balance,electricity,1,true
HR_E_ENS,HR_E_Demand,electricity,,
HR_Gas,HR_E_Balance,electricity,,
HR_Hydro,HR_E_Balance,electricity,,
HR_Hydro_Reservoir,HR_E_Balance,electricity,,
HR_Pump_Hydro_Open,HR_E_Balance,electricity,,
HR_Solar,HR_E_Balance,electricity,,
