scope,dataset,method,num_clusters,relative_regret,investment_cost,operational_cost_without_ens,ens_cost,total_cost
perlocation,basedataset,UTR,292,594.27490282208,133876856.80985826,33192376.14035213,974040185.8596479,1141109418.8098583
perlocation,basedataset,UTR,365,1018.7864649839964,135719552.2100666,33858470.721128225,1669258103.2788718,1838836126.2100666
perlocation,basedataset,UTR,438,608.9589068212745,135649939.62027037,32978233.777605653,996615857.2223943,1165244030.6202703
perlocation,basedataset,UTR,584,40.57830437909352,140050540.57955474,25764010.905116126,65239785.28488387,231054336.76955473
perlocation,basedataset,UTR,730,73.25078669840497,137711724.12197745,31820818.416949615,115222247.98305039,284754790.5219774
perlocation,basedataset,UTR,876,35.58102673649366,142000320.82699576,20657922.173175223,60182574.07682478,222840817.07699576
perlocation,basedataset,UTR,1095,17.35756036585231,142108157.6097973,18989999.5648255,31790591.875174496,192888749.0497973
perlocation,basedataset,UTR,1460,15.176146858479902,143579185.55871612,18137305.435655046,27586889.36434495,189303380.35871613
perlocation,basedataset,UTR,1752,6.996368925430969,143278314.4484814,18349752.144399703,14231040.3156003,175859106.90848142
perlocation,basedataset,UTR,2190,3.6401443172839723,144875914.57528636,17524160.58901848,7942744.900981521,170342820.06528637
perlocation,basedataset,UTR,2920,2.8408853329708017,145225447.23284316,17270353.976809323,6533357.723190677,169029158.93284315
perlocation,basedataset,UTR,4380,0.6213328270732557,145915272.03836292,17152732.839794237,2313100.1502057603,165381105.02836293
perlocation,highvar,EAC,200,41.97605499403292,300127372.92034626,67630631.13766359,54467906.962336406,422225911.0203463
perlocation,highvar,EAC,400,33.57565511485672,288233445.9193022,54021954.52269633,54988364.877303675,397243765.3193022
perlocation,highvar,EAC,500,29.48484370981167,281670802.090451,47618967.33669316,55788236.16330684,385078005.590451
perlocation,highvar,EAC,600,23.32847161422234,269239704.7668351,42104922.685880944,55424799.15411906,366769426.6068351
perlocation,highvar,EAC,800,13.02295479725842,245624961.3604151,34394852.16016594,56101795.559834056,336121609.0804151
perlocation,highvar,EAC,1000,9.308247114524157,234991149.559082,32472959.772869937,57610243.677130066,325074353.009082
perlocation,highvar,EAC,1200,3.9516521065460246,215681508.9845281,33627315.72856056,59835425.10143944,309144249.8145281
perlocation,highvar,EAC,1400,1.6706399443494189,201351257.9884217,36143630.940709636,64865805.45929037,302360694.3884217
perlocation,highvar,EAC,1500,1.8478215822939985,197815064.40610015,36044474.08380589,69028080.5161941,302887619.0061002
perlocation,highvar,EAC,1600,1.8668028336829117,196361381.69361103,36431826.363700375,70150859.73629962,302944067.79361105
perlocation,highvar,EAC,1800,1.652803599120143,197248934.7641204,36707135.94139892,68351579.75860108,302307650.4641204
perlocation,highvar,EAC,2000,1.6171826705074674,197256443.551282,36610147.0104702,68335125.9895298,302201716.551282
perlocation,highvar,EAC,2200,1.1674409227089966,197216445.2472411,36449437.369654134,67198336.43034586,300864219.0472411
perlocation,highvar,EAC,2400,0.8173225995184222,197931476.8760115,36078976.00277678,65812541.097223215,299822993.9760115
perlocation,highvar,EAC,2500,0.8128370215228424,197931180.91068476,36088628.470289044,65789844.82971095,299809654.2106848
perlocation,highvar,EAC,3000,0.7013081747785646,200225032.59449297,35459303.12059186,63793640.24940815,299477975.964493
perlocation,highvar,EAC,3500,0.6875118141869223,199554989.905008,35203975.57238905,64677981.16761094,299436946.64500797
perlocation,highvar,EAC,4000,0.5591551819142511,198626228.1538013,35317641.77426112,65111353.925738886,299055223.8538013
perlocation,highvar,HC,200,204.66975408955616,176341282.456826,41295485.45957744,688427740.5404226,906064508.456826
perlocation,highvar,HC,400,126.34128271905766,175661430.0052073,41364845.39844209,456095359.8015579,673121635.2052073
perlocation,highvar,HC,500,62.3678141753004,181499903.34919837,40135589.582058996,261233947.71794102,482869440.6491984
perlocation,highvar,HC,600,68.14043169270055,181354686.1160322,38574396.6617403,280107680.1382597,500036762.9160322
perlocation,highvar,HC,800,20.883155518614558,189553379.36979467,36736327.21120383,133207537.28879617,359497243.86979467
perlocation,highvar,HC,1000,8.23526936629825,190251225.7847664,37551422.566290244,94080751.03370975,321883399.3847664
perlocation,highvar,HC,1200,8.352334833630788,191921205.0164371,37175963.10910036,93134374.99089964,322231543.1164371
perlocation,highvar,HC,1400,7.859115326786512,194579559.8877474,37091294.45184621,89093891.74815379,320764746.0877474
perlocation,highvar,HC,1500,8.054585467230465,195171529.6108095,36933736.756937996,89240792.943062,321346059.3108095
perlocation,highvar,HC,1600,7.371711709755638,194520240.26981783,36091855.782660425,88703149.01733957,319315245.06981784
perlocation,highvar,HC,1800,5.759302023308007,196098928.1861478,36355408.33467232,82065725.66532768,314520062.1861478
perlocation,highvar,HC,2000,2.380144590800215,195541520.25308308,36730240.62015626,72198945.97984374,304470706.8530831
perlocation,highvar,HC,2200,3.9413196299137745,194966287.92057636,36265424.529204205,77881809.3707958,309113521.82057637
perlocation,highvar,HC,2400,3.788018867836484,194968419.39825597,36166251.52112433,77522946.17887567,308657617.098256
perlocation,highvar,HC,2500,2.574960503382506,194777675.8526038,36178882.9028496,74093515.6971504,305050074.4526038
perlocation,highvar,HC,3000,1.5290880790864647,198482600.1851652,35777113.00223675,67680016.79776324,301939729.9851652
perlocation,highvar,HC,3500,1.2158395114024538,197609518.04228604,36146279.50146276,67252355.19853725,301008152.742286
perlocation,highvar,HC,4000,0.7646306915582999,198706082.57837105,35237240.4710835,65722969.2289165,299666292.27837104
perlocation,highvar,HC,5000,0.45430875821904954,199202470.31182897,35293503.62343708,64247444.686562926,298743418.621829
perlocation,highvar,HC,6000,0.5147032510149204,201306566.65668973,35020430.909941256,62596029.65005875,298923027.2166897
perlocation,highvar,HC,7000,0.39367461507176393,199740727.0151823,34936037.4970547,63886332.8129453,298563097.3251823
perlocation,highvar,HC,8000,0.16376901580258607,197861167.885613,35000277.544698805,65017930.25530119,297879375.685613
perlocation,highvar,PEC,500,53.50566736474024,277384296.74782586,72624667.01868343,106505131.18131655,456514094.94782585
perlocation,highvar,PEC,1000,45.224858341223246,271000885.9898704,56771938.6905254,104114778.60947461,431887603.28987044
