asset,year,partition,rep_period,specification
BG_H_Demand,2050,1,1,uniform
BG_Hydro,2050,1,1,uniform
BG_Hydro_Reservoir,2050,24,1,uniform
BG_Nuclear,2050,1,1,uniform
BG_OCGT,2050,1,1,uniform
BG_Pump_Hydro_Closed,2050,24,1,uniform
BG_Pump_Hydro_Open,2050,24,1,uniform
BG_Solar,2050,16;40;8;16;8;16;8;16;8;16;8;16;8;14;74;8;6;8;26;7;5;10;27;8;14;3;70;9;14;10;26;12;10;74;36;11;16;9;10;28;6;4;13;23;9;3;12;9;1;14;10;14;9;63;8;4;12;24;9;15;9;42;5;5;11;10;14;10;14;10;14;10;38;10;14;10;14;10;14;10;38;10;14;10;14;10;14;10;14;10;14;10;14;11;37;11;13;10;85;12;24;36;12;36;12;12;12;60;12;36;12;60;12;60;12;12;12;84;12;12;12;12;12;12;12;84;12;12;12;12;12;35;13;11;13;35;13;11;13;59;13;11;13;11;13;35;14;14;10;58;14;13;11;34;14;10;10;38;14;10;14;34;9;39;14;10;14;24;10;14;34;14;34;14;10;14;48;11;13;58;14;34;14;14;10;10;14;34;14;64;4;13;15;13;11;57;15;10;14;9;4;10;10;5;7;3;9;6;9;33;15;48;21;3;12;9;16;11;9;15;9;15;10;14;98;31;12;3;9;15;34;14;70;13;13;58;14;24;10;14;35;3;10;13;11;34;14;34;14;10;14;34;14;15;9;24;36;12;34;14;34;14;34;14;15;9;24;10;14;10;14;10;14;58;14;34;14;10;14;10;14;34;14;34;14;34;14;12;12;17;5;12;6;3;5;34;14;12;12;10;14;106;13;35;13;16;8;11;13;11;13;11;13;11;13;24;37;11;60;12;12;12;36;12;12;12;12;12;12;12;36;12;12;12;12;12;12;12;36;9;39;12;48;36;11;13;11;13;11;37;11;13;11;13;11;14;10;13;11;13;11;37;11;13;11;29;32;11;13;11;13;11;37;11;37;11;19;5;13;11;13;11;14;10;13;10;15;10;14;10;61;11;13;11;62;10;14;10;14;10;14;10;14;10;14;10;14;9;15;9;15;9;15;9;15;9;39;9;15;9;15;9;15;9;15;9;15;9;15;9;15;9;15;9;15;9;15;11;13;24;9;39;9;26;13;12;12;24;9;15;9;15;9;15;9;23;16;9;15;9;15;9;39;9;15;9;26;13;24;3;5;16;9;15;9;15;9;15;9;15;9;15;9;24;40;8;16;8;16;7;17;8;16;24;8;66;5;17;8;8,1,explicit
BG_Wind_Onshore,2050,16;40;8;16;8;16;8;16;8;16;8;16;8;14;74;8;6;8;26;7;5;10;27;8;14;3;70;9;14;10;26;12;10;74;36;11;16;9;10;28;6;4;13;23;9;3;12;9;1;14;10;14;9;63;8;4;12;24;9;15;9;42;5;5;11;10;14;10;14;10;14;10;38;10;14;10;14;10;14;10;38;10;14;10;14;10;14;10;14;10;14;10;14;11;37;11;13;10;85;12;24;36;12;36;12;12;12;60;12;36;12;60;12;60;12;12;12;84;12;12;12;12;12;12;12;84;12;12;12;12;12;35;13;11;13;35;13;11;13;59;13;11;13;11;13;35;14;14;10;58;14;13;11;34;14;10;10;38;14;10;14;34;9;39;14;10;14;24;10;14;34;14;34;14;10;14;48;11;13;58;14;34;14;14;10;10;14;34;14;64;4;13;15;13;11;57;15;10;14;9;4;10;10;5;7;3;9;6;9;33;15;48;21;3;12;9;16;11;9;15;9;15;10;14;98;31;12;3;9;15;34;14;70;13;13;58;14;24;10;14;35;3;10;13;11;34;14;34;14;10;14;34;14;15;9;24;36;12;34;14;34;14;34;14;15;9;24;10;14;10;14;10;14;58;14;34;14;10;14;10;14;34;14;34;14;34;14;12;12;17;5;12;6;3;5;34;14;12;12;10;14;106;13;35;13;16;8;11;13;11;13;11;13;11;13;24;37;11;60;12;12;12;36;12;12;12;12;12;12;12;36;12;12;12;12;12;12;12;36;9;39;12;48;36;11;13;11;13;11;37;11;13;11;13;11;14;10;13;11;13;11;37;11;13;11;29;32;11;13;11;13;11;37;11;37;11;19;5;13;11;13;11;14;10;13;10;15;10;14;10;61;11;13;11;62;10;14;10;14;10;14;10;14;10;14;10;14;9;15;9;15;9;15;9;15;9;39;9;15;9;15;9;15;9;15;9;15;9;15;9;15;9;15;9;15;9;15;11;13;24;9;39;9;26;13;12;12;24;9;15;9;15;9;15;9;23;16;9;15;9;15;9;39;9;15;9;26;13;24;3;5;16;9;15;9;15;9;15;9;15;9;15;9;24;40;8;16;8;16;7;17;8;16;24;8;66;5;17;8;8,1,explicit
BG_electrolyzer,2050,1,1,uniform
CH_Battery,2050,1,1,uniform
CH_E_Balance,2050,1,1,uniform
CH_E_Demand,2050,9;8;16;33;15;8;23;17;8;40;8;88;8;16;8;38;4;6;16;8;14;4;6;16;8;16;8;64;9;12;7;4;24;14;4;7;18;5;16;45;36;12;14;13;9;13;13;37;9;39;9;41;7;12;5;7;38;9;13;3;9;11;7;5;68;20;2;7;24;11;6;7;17;7;17;7;14;10;38;10;38;10;14;10;38;48;11;13;11;18;5;1;11;7;6;17;7;24;37;11;13;11;13;11;12;12;36;12;12;9;25;16;10;38;10;18;18;12;14;10;12;12;12;12;12;12;12;12;16;8;12;12;36;12;60;3;9;36;12;12;12;36;12;12;4;8;36;12;13;11;12;13;58;14;10;13;11;14;10;14;10;14;10;14;13;11;10;13;15;10;34;14;34;14;10;14;10;14;34;14;11;13;10;14;58;14;13;11;34;14;15;9;34;14;10;14;10;14;34;14;17;7;10;14;10;14;34;14;34;14;10;14;10;14;9;15;14;10;33;15;13;11;24;39;9;62;10;34;14;33;16;14;10;32;16;11;12;10;15;128;16;33;15;24;8;16;23;9;16;32;6;10;36;12;14;10;12;12;32;16;9;15;9;15;9;15;57;15;9;15;9;87;57;14;13;11;24;10;14;10;14;34;14;10;14;10;14;10;14;58;14;17;7;34;14;58;14;37;11;48;10;14;10;14;13;11;10;14;106;14;14;10;34;14;10;13;35;13;14;11;34;14;11;2;10;15;9;36;12;36;12;12;12;12;12;84;12;12;12;60;12;36;12;12;12;12;12;12;12;12;12;12;12;15;7;14;12;36;12;36;12;36;12;36;11;13;11;13;11;37;11;37;11;37;11;37;11;13;11;13;11;37;11;38;10;16;8;24;38;10;86;10;14;10;14;24;9;15;10;14;10;14;10;38;9;24;15;9;18;6;16;8;15;9;17;7;15;9;15;9;15;9;15;3;6;15;9;15;9;15;9;15;9;15;9;63;9;40;8;15;9;24;15;9;15;9;16;8;16;8;5;11;4;20;8;16;8;24;37;10;17;24;7;15;26;8;6;10;10;14;72;8;40;8;16;8;37;7;4;16;8;16;8;16;8;40;8;16;8;16;8;16;8;24;24;12;52;8;24;7,1,explicit
CH_E_ENS,2050,1,1,uniform
CH_H_Demand,2050,1,1,uniform
CH_Hydro,2050,1,1,uniform
CH_Nuclear,2050,1,1,uniform
CH_Pump_Hydro_Closed,2050,24,1,uniform
CH_Pump_Hydro_Open,2050,24,1,uniform
